#;Date;Heure;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;;;
135;06/01/2026;14:45;3h;DEGEN;74;AVAXUSDT;SHORT;14,331;14,547;-0,6146;SL;;;;;;;;;;
136;06/01/2026;15:30;3h;TOP 30;81,7;WIFUSDT;LONG;0,4176;0,4013;-1,5852;SL;;;;;;;;;;
137;06/01/2026;15:51;3h;DISCOVERY;80;KASUSDT;LONG;0,05219;0,05098;-0,4808;SL;;;;;;;;;;
138;06/01/2026;16:17;2h;DEGEN;98;BEATUSDT;LONG;0,71877;0,7033;-0,444;SL;;;;;;;;;;
139;06/01/2026;16:20;1h;DEGEN;70;WIFUSDT;SHORT;0,4040;0,4101;-0,4687;SL;;;;;;;;;;
140;06/01/2026;20:29;5h 30m;DEGEN;72;VIRTUALUSDT;SHORT;1,1083;1,1092;-0,0428;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
141;06/01/2026;21:15;20m;TOP 30;100;WIFUSDT;SHORT;0,4683;0,4853;-1,644;SL;;;;;;;;;;
142;06/01/2026;22:00;6h;DISCOVERY;90;TAOUSDT;LONG;278,72;290,23;1,2013;TP;TP1 & TP2 Touchés;;;;;;;;;
143;06/01/2026;22:12;20h;TOP 30;100;APTUSDT;SHORT;1,9682;1,9952;-0,2948;SL;STOP TIME LIMIT;;;;;;;;;
144;06/01/2026;22:40;14h;TOP 30;99,7;LINKUSDT;LONG;13,688;14,237;0,5308;TP;TP1 Touché;;;;;;;;;
145;06/01/2026;23:10;1h;DEGEN;78;PIPPINUSDT;SHORT;0,31784;0,3279;-0,6781;SL;;;;;;;;;;
146;06/01/2026;23:39;1h;TOP 30;82,6;DOGEUSDT;SHORT;0,1554;0,15063;1,1649;TP;TP1 & TP2 Touchés;;;;;;;;;
147;06/01/2026;23:41;11h;DISCOVERY;80;HUSDT;LONG;0,16064;0,15617;-0,8972;SL;;;;;;;;;;
148;06/01/2026;23:41;2h 30m;TOP 30;100;WIFUSDT;SHORT;0,4827;0,4137;4,2035;TP;TP1 & TP2 Touchés;;;;;;;;;
149;07/01/2026;00:20;4h;DISCOVERY;90;KASUSDT;LONG;0,05287;0,05145;-0,5476;SL;;;;;;;;;;
150;07/01/2026;00:29;16h;TOP 30;85;XLMUSDT;LONG;0,24954;0,24134;-1,3499;SL;;;;;;;;;;
151;07/01/2026;00:47;1h;DEGEN;88;UNIUSDT;SHORT;6,116;5,968;0,5727;TP;TP1 Touché;;;;;;;;;
152;07/01/2026;00:51;12h;DISCOVERY;90;HYPEUSDT;LONG;26,461;27,069;0,6356;TP;TP1 Touché;;;;;;;;;
153;07/01/2026;00:55;13h;DISCOVERY;100;WLDUSDT;LONG;0,6361;0,623;-0,6315;SL;;;;;;;;;;
154;07/01/2026;01:09;9h;DISCOVERY;80;1000BONKUSDT;SHORT;0,011964;0,0011899;0,1746;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
155;07/01/2026;01:45;5h;DISCOVERY;80;SHIBUSDT;LONG;0,000009382;0,000008913;-1,0021;SL;;;;;;;;;;
156;07/01/2026;01:49;4h;DISCOVERY;80;OGUSDT;SHORT;4,2734;4,5047;-1,0794;SL;;;;;;;;;;
